"page","block","type","y0","y1","file","ocr_heading"
"30","","page","0","1061","away.png","away"
"31","","page","0","1061","away-2.png","away"
"32","1","idiom","34","264","go-away.png","go away"
"32","2","idiom","266","511","drive-away.png","drive away"
"32","3","idiom","513","756","laugh-away-off.png","laugh | naway/ | off ~"
"32","4","idiom","758","1010","melt-away.png","melt away"
"33","1","idiom","34","267","die-away.png","die away"
"33","2","idiom","269","509","fade-away.png","fade | eaway"
"33","3","idiom","511","761","boil-away.png","boil away"
"33","4","idiom","763","1010","work-away.png","work | Kaway"
"34","","page","0","1060","off.png","off"
"35","","page","0","1060","off-2.png","off"
"36","1","idiom","34","265","fall-off.png","fall off ("
"36","2","idiom","267","509","show-off.png","show off ~"
"36","3","idiom","511","757","call-off.png","call off ~"
"36","4","idiom","759","1010","lay-off.png","lay off "
"37","1","idiom","34","267","clear-off.png","clear off "
"37","2","idiom","269","516","pay-off.png","pay off ~"
"37","3","idiom","518","764","start-off.png","start off"
"37","4","idiom","766","1010","move-off.png","move off"
"38","","page","0","1060","up.png","up"
"39","","page","0","1061","up-2.png","up"
"40","1","idiom","34","268","dig-up.png","dig up"
"40","2","idiom","270","511","gather-up.png","gather up"
"40","3","idiom","513","758","show-up.png","show up"
"40","4","idiom","760","1010","count-up.png","count up"
"41","1","idiom","34","268","wake-up.png","wake (~) up"
"41","2","idiom","270","514","speak-up.png","speak up"
"41","3","idiom","516","762","add-up.png","add up (~)"
"41","4","idiom","764","1010","hang-up.png","hang up"
"42","1","idiom","34","270","catch-up-with.png","catch up | (with ~)"
"42","2","idiom","272","515","hurry-up.png","hurry up"
"42","3","idiom","517","766","brush-up-on.png","brush up (on ~)"
"42","4","idiom","768","1010","use-up.png","use up"
"43","1","idiom","34","265","eat-up.png","eat up (~)"
"43","2","idiom","267","516","drink-up.png","drink up ("
"43","3","idiom","518","757","burn-up.png","burn up"
"43","4","idiom","759","1010","fill-up.png","fill ~ up"
"44","1","idiom","34","269","end-up.png","end up (~)"
"44","2","idiom","271","515","clear-up.png","clear up"
"44","3","idiom","517","759","clear-up-2.png","clear up"
"44","4","idiom","761","1010","line-up.png","line up (~)"
"45","1","idiom","34","268","lock-up.png","lock up ~"
"45","2","idiom","270","512","shut-up.png","shut up (~)"
"45","3","idiom","514","761","blow-up.png","blow up (~)"
"45","4","idiom","763","1010","blow-up-2.png","blow up (~)"
"46","","page","0","1059","down.png","down"
"47","","page","0","1062","down-2.png","down"
"48","1","idiom","34","267","fall-down.png","fall down"
"48","2","idiom","269","511","write-down.png","write | down"
"48","3","idiom","513","758","lie-down.png","lie down"
"48","4","idiom","760","1010","lay-down.png","lay down ~"
"49","1","idiom","34","268","calm-down.png","calm down"
"49","2","idiom","270","518","burn-down.png","burn down"
"49","3","idiom","520","758","shut-close-down.png","shut/close | down"
"49","4","idiom","760","1010","die-down.png","die down"
"50","","page","0","1060","over.png","over"
"51","","page","0","1061","over-2.png","over"
"52","1","idiom","34","273","stop-over.png","stop over"
"52","2","idiom","275","516","cross-over.png","cross over"
"52","3","idiom","518","763","lean-over.png","lean over"
"52","4","idiom","765","1010","boil-lover.png","boil | lover"
"53","1","idiom","34","266","roll-over.png","roll over"
"53","2","idiom","268","517","talk-over.png","talk over ~"
"53","3","idiom","519","768","think-over.png","think | over"
"53","4","idiom","770","1010","cry-over.png","cry over ~"
"54","","page","0","1062","out.png","out"
"55","","page","0","1060","out-2.png","out"
"56","1","idiom","34","266","eat-out.png","eat out"
"56","2","idiom","268","511","point-out.png","point out ~"
"56","3","idiom","513","762","find-out.png","find out ~"
"56","4","idiom","764","1010","ask-out.png","ask ~ out"
"57","1","idiom","34","271","stretch-out.png","stretch out"
"57","2","idiom","273","517","reach-out-to.png","reach out to"
"57","3","idiom","519","762","hang-out.png","hang out (~)"
"57","4","idiom","764","1010","lay-out.png","lay out ~"
"58","1","idiom","34","269","lay-out-2.png","lay out ~"
"58","2","idiom","271","514","count-out.png","count ~ out"
"58","3","idiom","516","761","speak-out.png","speak out"
"58","4","idiom","763","1010","stick-out.png","stick (~) out"
"59","1","idiom","34","270","die-out.png","die out"
"59","2","idiom","272","519","cross-out.png","cross out ~"
"59","3","idiom","521","760","wear-out.png","wear out (~)"
"59","4","idiom","762","1010","fill-out.png","fill out ~"
"60","","page","0","1062","in.png","in"
"61","","page","0","1060","in-2.png","in"
"62","1","idiom","34","267","take-part-in.png","take part in"
"62","2","idiom","269","515","check-in.png","check in (~)"
"62","3","idiom","517","762","be-involved-in.png","be involved in -"
"62","4","idiom","764","1010","count-in.png","count ~ in"
"63","1","idiom","34","269","fill.png","fill"
"63","2","idiom","271","518","stay.png","stay"
"63","3","idiom","520","763","be-dressed.png","be dressed"
"63","4","idiom","765","1010","believe.png","believe"
"64","","page","0","1062","at.png","at"
"65","","page","0","1060","at-2.png","at"
"66","1","idiom","34","265","call-at.png","call at ~"
"66","2","idiom","267","512","smile-at.png","smile at ~"
"66","3","idiom","514","756","laugh-at.png","laugh at ~"
"66","4","idiom","758","1010","glance-at.png","glance at ~"
"67","1","idiom","34","268","stare-at.png","stare at"
"67","2","idiom","270","516","gaze-at.png","gaze at ~"
"67","3","idiom","518","764","get-angry-at.png","get angry at ~"
"67","4","idiom","766","1010","shout-at.png","shout at ~"
"68","1","idiom","34","266","be-surprised-at.png","be surprised | at ~"
"68","2","idiom","268","513","sniff-at.png","sniff at ~"
"68","3","idiom","515","762","point-at-b.png","point A at B"
"68","4","idiom","764","1010","aim-at-b.png","aim A at B"
"69","1","idiom","34","273","shoot-at.png","shoot at ~"
"69","2","idiom","275","518","make-guess-at.png","make a guess | at ~"
"69","3","idiom","520","766","catch-at.png","catch at ~"
"69","4","idiom","768","1010","drive-at.png","drive at ~"
"70","","page","0","1062","on.png","on"
"71","","page","0","1061","on-2.png","on"
"72","1","idiom","34","269","call-on.png","call on ~"
"72","2","idiom","271","512","try-on.png","try ~ on"
"72","3","idiom","514","759","rely-i-on.png","rely | I on"
"72","4","idiom","761","1010","feed-on.png","feed on"
"73","1","idiom","34","270","live-on.png","live on"
"73","2","idiom","272","517","be-based-on.png","be based on ~"
"73","3","idiom","519","763","hang-on-to.png","hang on to"
"73","4","idiom","765","1010","rain-off-and-on.png","rain off and on"
"74","","page","0","1061","to.png","to"
"75","","page","0","1062","to-2.png","to"
"76","1","idiom","34","270","listen-to.png","listen to ·"
"76","2","idiom","272","519","lead-to.png","lead to"
"76","3","idiom","521","764","amount-to.png","amount to"
"76","4","idiom","766","1010","agree-to.png","agree to ."
"77","1","idiom","34","268","belong-to.png","belong to ~"
"77","2","idiom","270","517","stick-to.png","stick to ~"
"77","3","idiom","519","759","object-to.png","object to·"
"77","4","idiom","761","1010","prefer-to-b.png","prefer A to B"
"78","","page","0","1060","for.png","for"
"79","","page","0","1060","for-2.png","for"
"80","1","idiom","34","266","head-for.png","head for "
"80","2","idiom","268","511","bebound-for.png","bebound for~"
"80","3","idiom","513","762","vote-for.png","vote for ~"
"80","4","idiom","764","1010","be-dying-for.png","be dying for -"
"81","1","idiom","34","265","search-for.png","search for "
"81","2","idiom","267","518","cry-for.png","cry for ~"
"81","3","idiom","520","763","ask-call-for.png","ask/call for"
"81","4","idiom","765","1010","hope-for.png","hope for~"
"82","1","idiom","34","266","wish-for.png","wish for ~"
"82","2","idiom","268","516","long-for.png","long for ~"
"82","3","idiom","518","761","wait-for.png","wait for~"
"82","4","idiom","763","1010","apply-for.png","apply  | /for~"
"83","1","idiom","34","273","reach-for.png","reach for "
"83","2","idiom","275","520","exchange-for-b.png","exchange A | for B"
"83","3","idiom","522","761","substitutea-for-b.png","substituteA | for B"
"83","4","idiom","763","1010","pay-for-b.png","pay A for B"
"84","","page","0","1060","from.png","from"
"85","","page","0","1057","from-2.png","from"
"86","1","idiom","34","267","tell-from-b.png","tell A from B"
"86","2","idiom","269","510","differ-from.png","differ from"
"86","3","idiom","512","761","die-from.png","die from"
"86","4","idiom","763","1010","suffer-from.png","suffer from"
"87","1","idiom","34","270","result-from.png","result from"
"87","2","idiom","272","516","refrain-from.png","refrain from"
"87","3","idiom","518","760","prevent-from-ing.png","prevent A | from ~ing"
"87","4","idiom","758","1010","prohibit-from-ing.png","prohibit A | from ~ing"
"87","5","idiom","911","1010","from-drinking.png","from drinking."
"88","","page","0","1061","of.png","of"
"89","","page","0","1060","of-2.png","of"
"90","1","idiom","34","267","rob-of-b.png","rob A of B"
"90","2","idiom","269","513","clear-of-b.png","clear A of B"
"90","3","idiom","515","759","cure-of-b.png","cure A of B"
"90","4","idiom","761","1010","dispose-of.png","dispose of "
"91","1","idiom","34","266","consist-of.png","consist of ~"
"91","2","idiom","268","514","speak-of.png","speak of ~"
"91","3","idiom","516","760","hear-of.png","hear of -"
"91","4","idiom","762","1010","complain-of.png","complain of ~"
"92","","page","0","1062","with.png","with"
"93","","page","0","1059","with-2.png","with"
"94","1","idiom","34","270","be-filled-with.png","be filled with"
"94","2","idiom","272","515","becovered-with.png","becovered | with"
"94","3","idiom","517","761","be-crowded-with.png","be crowded | with"
"94","4","idiom","763","1010","be-equipped-with.png","be equipped | with"
"95","1","idiom","34","269","befurnished-with.png","befurnished | with"
"95","2","idiom","271","514","be-presented-with.png","be presented | with ~"
"95","3","idiom","516","758","deal-with.png","deal with"
"95","4","idiom","760","1010","provide-with-b.png","provide A | with B"
"96","1","idiom","34","265","plant-with-b.png","plant A with B"
"96","2","idiom","267","510","replace-with-b.png","replace A | with B"
"96","3","idiom","512","760","mix-with.png","mix with"
"96","4","idiom","762","1010","correspond-with.png","correspond | with"
"97","1","idiom","34","271","befacedwith.png","befacedwith"
"97","2","idiom","273","516","compare-with-b.png","compare A | with B"
"97","3","idiom","518","760","compete-with.png","compete with -"
"97","4","idiom","762","1010","struggle-with.png","struggle with"
"98","","page","0","1061","by-aside.png","by-aside"
"99","","page","0","1062","by-aside-2.png","by-aside"
"100","1","idiom","34","269","by-run.png","by | run"
"100","2","idiom","271","510","by-come.png","by | come"
"100","3","idiom","512","760","stop-by.png","stop | by"
"100","4","idiom","762","1010","set-aside.png","set ~ aside"
"101","1","idiom","34","270","step-aside.png","step aside"
"101","2","idiom","272","516","lay-aside.png","lay aside "
"101","3","idiom","518","769","lay-aside-2.png","lay aside"
"101","4","idiom","771","1010","elbow-aside.png","elbow~aside"
